ngram,frequency
"('lock', 'journal')",7
"('long', 'journal')",7
"('love', 'prompts')",7
"('make', 'even')",7
"('missing', 'basic')",7
"('needs', 'features')",7
"('needs', 'ipad')",7
"('new', 'line')",7
"('nice', 'see')",7
"('one', 'best')",7
"('one', 'place')",7
"('option', 'share')",7
"('others', 'said')",7
"('overall', 'good')",7
"('particular', 'day')",7
"('party', 'apps')",7
"('phone', 'password')",7
"('photos', 'add')",7
"('physical', 'journal')",7
"('point', 'journal')",7
"('really', 'good')",7
"('really', 'need')",7
"('suggestions', 'would')",7
"('tags', 'folders')",7
"('thank', 'much')",7
"('theres', 'option')",7
"('theres', 'search')",7
"('trying', 'use')",7
"('type', 'journal')",7
"('typing', 'phone')",7
"('unlock', 'phone')",7
"('use', 'mac')",7
"('user', 'experience')",7
"('version', 'ipad')",7
"('version', 'notes')",7
"('voice', 'note')",7
"('voice', 'recordings')",7
"('wish', 'app')",7
"('without', 'search')",7
"('would', 'recommend')",7
"('write', 'something')",7
"('ability', 'make')",6
"('able', 'journal')",6
"('able', 'keep')",6
"('able', 'print')",6
"('access', 'journal')",6
"('add', 'anything')",6
"('add', 'journal')",6
"('add', 'option')",6
"('add', 'text')",6
"('add', 'time')",6
"('also', 'able')",6
"('also', 'ipad')",6
"('also', 'nice')",6
"('anyone', 'else')",6
"('app', 'ability')",6
"('app', 'added')",6
"('app', 'allow')",6
"('app', 'allows')",6
"('app', 'awesome')",6
"('app', 'currently')",6
"('app', 'day')",6
"('app', 'definitely')",6
"('app', 'easy')",6
"('app', 'face')",6
"('app', 'first')",6
"('app', 'journaling')",6
"('app', 'know')",6
"('app', 'love')",6
"('app', 'made')",6
"('app', 'notes')",6
"('app', 'option')",6
"('app', 'suggestions')",6
"('app', 'using')",6
"('apple', 'pen')",6
"('apples', 'journal')",6
"('back', 'bottom')",6
"('basic', 'app')",6
"('beautiful', 'app')",6
"('better', 'could')",6
"('bold', 'underline')",6
"('bottom', 'entry')",6
"('cant', 'journal')",6
"('could', 'better')",6
"('create', 'journal')",6
"('definitely', 'need')",6
"('deleted', 'app')",6
"('didnt', 'ask')",6
"('different', 'colors')",6
"('different', 'notes')",6
"('different', 'things')",6
"('different', 'topics')",6
"('doesnt', 'let')",6
"('easy', 'way')",6
"('edit', 'text')",6
"('enjoy', 'app')",6
"('entries', 'folders')",6
"('entries', 'way')",6
"('entry', 'date')",6
"('entry', 'dont')",6
"('entry', 'like')",6
"('entry', 'one')",6
"('entry', 'would')",6
"('essential', 'features')",6
"('excited', 'use')",6
"('feature', 'app')",6
"('features', 'could')",6
"('features', 'great')",6
"('features', 'search')",6
"('font', 'size')",6
"('friends', 'family')",6
"('get', 'back')",6
"('get', 'journal')",6
"('good', 'idea')",6
"('good', 'suggestions')",6
"('good', 'way')",6
"('got', 'phone')",6
"('hand', 'write')",6
"('help', 'people')",6
"('icloud', 'storage')",6
"('id', 'really')",6
"('ill', 'stick')",6
"('im', 'actually')",6
"('im', 'disappointed')",6
"('im', 'still')",6
"('improve', 'app')",6
"('ipad', 'keyboard')",6
"('ipad', 'macos')",6
"('iphone', 'apple')",6
"('iphone', 'ipad')",6
"('ive', 'wanting')",6
"('journal', 'also')",6
"('journal', 'could')",6
"('journal', 'however')",6
"('journal', 'one')",6
"('journal', 'thoughts')",6
"('jumps', 'back')",6
"('keeps', 'jumping')",6
"('key', 'words')",6
"('lacks', 'basic')",6
"('latest', 'ios')",6
"('like', 'day')",6
"('like', 'im')",6
"('like', 'one')",6
"('like', 'option')",6
"('lock', 'feature')",6
"('looking', 'back')",6
"('lot', 'people')",6
"('loving', 'new')",6
"('mac', 'app')",6
"('macbook', 'ipad')",6
"('makes', 'journaling')",6
"('many', 'apps')",6
"('many', 'things')",6
"('maybe', 'could')",6
"('mood', 'tracker')",6
"('much', 'needed')",6
"('needs', 'ability')",6
"('needs', 'fixed')",6
"('needs', 'lot')",6
"('new', 'update')",6
"('next', 'line')",6
"('notes', 'apps')",6
"('notes', 'journal')",6
"('notes', 'reminders')",6
"('old', 'entries')",6
"('option', 'search')",6
"('overall', 'app')",6
"('overall', 'great')",6
"('pencil', 'ipad')",6
"('pencil', 'support')",6
"('people', 'know')",6
"('people', 'would')",6
"('phone', 'updated')",6
"('please', 'apple')",6
"('please', 'consider')",6
"('please', 'let')",6
"('pretty', 'basic')",6
"('previous', 'entries')",6
"('really', 'enjoying')",6
"('really', 'write')",6
"('recommend', 'app')",6
"('reflect', 'day')",6
"('rich', 'text')",6
"('screen', 'jumps')",6
"('search', 'specific')",6
"('search', 'tags')",6
"('see', 'ability')",6
"('see', 'available')",6
"('see', 'features')",6
"('see', 'im')",6
"('separate', 'passcode')",6
"('several', 'times')",6
"('star', 'app')",6
"('started', 'journaling')",6
"('tags', 'would')",6
"('take', 'notes')",6
"('theres', 'also')",6
"('top', 'bottom')",6
"('travel', 'journal')",6
"('trying', 'find')",6
"('updated', 'phone')",6
"('use', 'like')",6
"('used', 'app')",6
"('using', 'day')",6
"('using', 'iphone')",6
"('view', 'entries')",6
"('voice', 'text')",6
"('way', 'add')",6
"('way', 'keep')",6
"('wish', 'search')",6
"('wish', 'would')",6
"('work', 'well')",6
"('works', 'well')",6
"('would', 'able')",6
"('would', 'amazing')",6
"('would', 'easier')",6
"('would', 'much')",6
"('writing', 'long')",6
"('writing', 'prompts')",6
"('ability', 'change')",5
"('ability', 'export')",5
"('able', 'access')",5
"('able', 'easily')",5
"('able', 'export')",5
"('able', 'find')",5
"('add', 'calendar')",5
"('add', 'one')",5
"('add', 'specific')",5
"('add', 'stickers')",5
"('add', 'title')",5
"('add', 'titles')",5
"('allow', 'us')",5
"('allow', 'users')",5
"('also', 'cant')",5
"('also', 'maybe')",5
"('always', 'wanted')",5
"('annoying', 'bug')",5
"('app', 'already')",5
"('app', 'appeared')",5
"('app', 'basic')",5
"('app', 'bit')",5
"('app', 'different')",5
"('app', 'everything')",5
"('app', 'feels')",5
"('app', 'get')",5
"('app', 'give')",5
"('app', 'go')",5
"('app', 'lacks')",5
"('app', 'looking')",5
"('app', 'nothing')",5
"('app', 'perfect')",5
"('app', 'right')",5
"('app', 'see')",5
"('app', 'thank')",5
"('app', 'thanks')",5
"('app', 'thing')",5
"('app', 'used')",5
"('app', 'well')",5
"('app', 'writing')",5
"('apple', 'make')",5
"('available', 'macbook')",5
"('available', 'notes')",5
"('back', 'journal')",5
"('back', 'see')",5
"('bad', 'app')",5
"('basic', 'functionality')",5
"('bigger', 'screen')",5
"('bluetooth', 'keyboard')",5
"('calendar', 'search')",5
"('cant', 'add')",5
"('cant', 'change')",5
"('cant', 'edit')",5
"('cant', 'make')",5
"('cant', 'select')",5
"('categorize', 'entries')",5
"('change', 'background')",5
"('could', 'choose')",5
"('could', 'possibly')",5
"('could', 'really')",5
"('create', 'folders')",5
"('cross', 'platform')",5
"('daily', 'entries')",5
"('date', 'entry')",5
"('day', 'like')",5
"('day', 'want')",5
"('development', 'team')",5
"('didnt', 'even')",5
"('different', 'entries')",5
"('different', 'password')",5
"('doesnt', 'allow')",5
"('doesnt', 'even')",5
"('doesnt', 'really')",5
"('done', 'button')",5
"('dont', 'write')",5
"('easier', 'way')",5
"('entries', 'also')",5
"('entries', 'categories')",5
"('entries', 'really')",5
"('entries', 'search')",5
"('entries', 'wish')",5
"('entries', 'without')",5
"('entry', 'even')",5
"('entry', 'search')",5
"('entry', 'thats')",5
"('even', 'ipad')",5
"('every', 'app')",5
"('exit', 'app')",5
"('export', 'pdf')",5
"('features', 'future')",5
"('find', 'entry')",5
"('first', 'app')",5
"('fix', 'issue')",5
"('function', 'would')",5
"('great', 'features')",5
"('great', 'journal')",5
"('great', 'journaling')",5
"('great', 'love')",5
"('great', 'work')",5
"('group', 'entries')",5
"('habit', 'app')",5
"('happy', 'app')",5
"('happy', 'see')",5
"('health', 'data')",5
"('hey', 'apple')",5
"('id', 'also')",5
"('idea', 'apple')",5
"('ill', 'use')",5
"('im', 'currently')",5
"('im', 'sticking')",5
"('integrate', 'apple')",5
"('integrated', 'health')",5
"('integration', 'apple')",5
"('ipad', 'also')",5
"('iphone', 'app')",5
"('iphone', 'doesnt')",5
"('isnt', 'ipad')",5
"('ive', 'always')",5
"('ive', 'never')",5
"('ive', 'noticed')",5
"('ive', 'tried')",5
"('journal', 'available')",5
"('journal', 'daily')",5
"('journal', 'doesnt')",5
"('journal', 'even')",5
"('journal', 'love')",5
"('journal', 'need')",5
"('journal', 'phone')",5
"('journal', 'please')",5
"('journal', 'prompts')",5
"('journal', 'really')",5
"('journal', 'without')",5
"('keep', 'going')",5
"('keep', 'journal')",5
"('keeps', 'deleting')",5
"('keyboard', 'also')",5
"('keyword', 'search')",5
"('let', 'users')",5
"('like', 'apps')",5
"('like', 'better')",5
"('like', 'concept')",5
"('like', 'could')",5
"('like', 'like')",5
"('like', 'lot')",5
"('like', 'put')",5
"('list', 'view')",5
"('long', 'way')",5
"('looks', 'great')",5
"('looks', 'nice')",5
"('lot', 'app')",5
"('lot', 'potential')",5
"('love', 'ability')",5
"('love', 'everything')",5
"('love', 'using')",5
"('love', 'way')",5
"('loved', 'app')",5
"('main', 'thing')",5
"('make', 'better')",5
"('make', 'easier')",5
"('make', 'ipad')",5
"('make', 'much')",5
"('make', 'one')",5
"('make', 'sure')",5
"('makes', 'easy')",5
"('making', 'app')",5
"('many', 'times')",5
"('might', 'well')",5
"('minimalist', 'design')",5
"('missing', 'search')",5
"('mood', 'tracking')",5
"('much', 'easier')",5
"('need', 'features')",5
"('need', 'make')",5
"('need', 'option')",5
"('need', 'use')",5
"('needs', 'available')",5
"('needs', 'calendar')",5
"('new', 'paragraph')",5
"('notes', 'better')",5
"('notes', 'like')",5
"('notes', 'would')",5
"('one', 'also')",5
"('one', 'im')",5
"('one', 'note')",5
"('option', 'export')",5
"('option', 'lock')",5
"('option', 'turn')",5
"('otherwise', 'great')",5
"('paper', 'journal')",5
"('pen', 'paper')",5
"('people', 'journal')",5
"('phone', 'app')",5
"('phone', 'calls')",5
"('phone', 'passcode')",5
"('photos', 'taken')",5
"('photos', 'would')",5
"('please', 'bring')",5
"('plus', 'button')",5
"('popped', 'phone')",5
"('potential', 'app')",5
"('potential', 'needs')",5
"('private', 'thoughts')",5
"('really', 'annoying')",5
"('really', 'dont')",5
"('really', 'great')",5
"('really', 'simple')",5
"('review', 'app')",5
"('screen', 'time')",5
"('search', 'date')",5
"('search', 'tag')",5
"('search', 'tool')",5
"('search', 'within')",5
"('see', 'apple')",5
"('see', 'calendar')",5
"('see', 'day')",5
"('see', 'option')",5
"('see', 'updates')",5
"('set', 'separate')",5
"('share', 'entries')",5
"('since', 'came')",5
"('specific', 'entries')",5
"('start', 'typing')",5
"('suggestion', 'would')",5
"('suggestions', 'based')",5
"('tag', 'entries')",5
"('tags', 'entries')",5
"('thing', 'app')",5
"('thing', 'really')",5
"('things', 'day')",5
"('things', 'id')",5
"('think', 'adding')",5
"('think', 'great')",5
"('think', 'needs')",5
"('time', 'date')",5
"('time', 'open')",5
"('time', 'stamp')",5
"('time', 'try')",5
"('title', 'entry')",5
"('understand', 'app')",5
"('use', 'journaling')",5
"('use', 'pencil')",5
"('use', 'voice')",5
"('useful', 'app')",5
"('user', 'friendly')",5
"('version', 'would')",5
"('voice', 'recording')",5
"('want', 'add')",5
"('want', 'share')",5
"('want', 'type')",5
"('way', 'get')",5
"('way', 'share')",5
"('well', 'done')",5
"('whats', 'point')",5
"('wish', 'option')",5
"('wont', 'able')",5
"('wont', 'use')",5
"('word', 'search')",5
"('would', 'even')",5
"('would', 'lot')",5
"('write', 'anything')",5
"('write', 'long')",5
"('write', 'whatever')",5
"('writing', 'app')",5
